run,method,iterations,runtime,tp,fn,fp,tn,accuracy,precision,recall,specificity,f1
run_04,DAPSO-10,20,35.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-10,30,59.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-10,40,84.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-10,50,113.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-10,60,125.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-10,70,125.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-10,80,133.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-10,90,148.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_04,DAPSO-10,100,216.0,21,5,8,80,0.8859649122807017,0.7241379310344828,0.8076923076923077,0.9090909090909091,0.7636363636363636
run_05,PSO,10,47.0,15,11,3,85,0.8771929824561403,0.8333333333333334,0.5769230769230769,0.9659090909090909,0.6818181818181818
run_05,PSO,20,99.0,15,11,3,85,0.8771929824561403,0.8333333333333334,0.5769230769230769,0.9659090909090909,0.6818181818181818
run_05,PSO,30,154.0,15,11,3,85,0.8771929824561403,0.8333333333333334,0.5769230769230769,0.9659090909090909,0.6818181818181818
run_05,PSO,40,208.0,15,11,3,85,0.8771929824561403,0.8333333333333334,0.5769230769230769,0.9659090909090909,0.6818181818181818
run_05,PSO,50,255.0,15,11,3,85,0.8771929824561403,0.8333333333333334,0.5769230769230769,0.9659090909090909,0.6818181818181818
run_05,PSO,60,302.0,15,11,3,85,0.8771929824561403,0.8333333333333334,0.5769230769230769,0.9659090909090909,0.6818181818181818
run_05,PSO,70,267.0,15,11,3,85,0.8771929824561403,0.8333333333333334,0.5769230769230769,0.9659090909090909,0.6818181818181818
run_05,PSO,80,341.0,15,11,3,85,0.8771929824561403,0.8333333333333334,0.5769230769230769,0.9659090909090909,0.6818181818181818
run_05,PSO,90,420.0,15,11,3,85,0.8771929824561403,0.8333333333333334,0.5769230769230769,0.9659090909090909,0.6818181818181818
run_05,PSO,100,397.0,15,11,3,85,0.8771929824561403,0.8333333333333334,0.5769230769230769,0.9659090909090909,0.6818181818181818
run_05,DAPSO-4,10,36.0,22,4,9,79,0.8859649122807017,0.7096774193548387,0.8461538461538461,0.8977272727272727,0.7719298245614036
run_05,DAPSO-4,20,58.0,22,4,11,77,0.868421052631579,0.6666666666666666,0.8461538461538461,0.875,0.7457627118644068
run_05,DAPSO-4,30,93.0,22,4,11,77,0.868421052631579,0.6666666666666666,0.8461538461538461,0.875,0.7457627118644068
