iterations,n,mean_speedup,std_speedup,median_speedup,min_speedup,max_speedup,ci95_speedup
10,10,1.8427073246038763,0.06833010746101748,1.8112535612535612,1.7857142857142858,2.0,0.04888041425672022
20,10,2.1370730489520224,0.04803467800551965,2.141544117647059,2.0384615384615383,2.2,0.03436193863645661
30,10,2.1952721234004278,0.07938072671314052,2.192857142857143,2.056338028169014,2.3333333333333335,0.05678555105377889
40,10,2.162496180029816,0.08307609794908598,2.15671031096563,1.9901960784313726,2.2916666666666665,0.059429060387470964
50,10,2.1797864374838074,0.037028372417946924,2.188089148702959,2.129032258064516,2.2338709677419355,0.0264885019253621
60,10,2.1763973609363325,0.041918915436093586,2.1660680076628354,2.1313868613138687,2.2565789473684212,0.029986985647251312
70,10,2.215217801512446,0.11718017674129995,2.178235294117647,2.1375,2.5375,0.08382564867263186
80,10,2.1052039898238837,0.1174621539855405,2.1314373240602746,1.7859649122807018,2.199004975124378,0.0840273630416208
90,10,2.1730541746255145,0.09663456139667642,2.1323941547392655,2.1116751269035534,2.425619834710744,0.06912820084881033
100,10,2.1417745251742204,0.05577314003602997,2.1363284684367856,2.043859649122807,2.2301255230125525,0.03989770089143398
